Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_6.3x5.4,1,100uF 35V,
"C10, C12, C13, C2, C4, C8",0603,6,0.1uF/50V,
"C11, C7, C9",0603,3,1uF/50V,
C3,0603,1,2.2uF,
C5,0603,1,2.2uF/25V,
C6,0603,1,22nF/50V,
D1,D_SMF,1,SMF40A,
D2,D_SOD-323,1,SD05,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,Conn_01x04,
LED1,0603,1,LED_Small,
LED2,LED-SMD_4P-L1.6-W1.5-BL-2,1,XL-1615RGBC-YG,
Q1,SOT-23,1,AO3400A,
"R10, R15, R3, R7, R8, R9",0603,6,4.7K,
"R11, R16",0603,2,100R,
R12,0603,1,0R,
R13,0603,1,12K,
"R14, R17, R19, R22, R26, R28, R5",0603,7,10K,
R18,1206,1,2K/1W,
"R23, R6",0603,2,1K,
"R24, R25",0603,2,33R,
R27,0603,1,330R,
R4,0603,1,100K,
"S1, S2, S3, S4",SW_EVQ-P7A01P,4,EVQ-P7A01P,
U1,MLP14_2P5X2P5_ONS,1,FUSB302BMPX,
U2,SOT95P280X100-5N,1,ADPL44002AUJZ,
U3,SOIC127P600X175-8N,1,AS5600-ASOM,
U4,21-0140_T3255&plus_5C_TRI,1,TMC2240ATJ+T,
U5,KS_3_ADI,1,ADM803SAKSZ,
U6,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
