Designator,Mid X,Mid Y,Rotation,Layer
C1,30.6075,-30.43,270.0,top
C10,32.05,-18.1,90.0,top
C11,30.6925,-22.41,0.0,top
C12,10.38,-8.16,270.0,top
C13,10.39,-2.03,90.0,top
C2,24.04,-16.83,90.0,bottom
C3,34.38,-10.9575,90.0,top
C4,20.500299,-23.295299,270.0,top
C5,22.03,-23.3,90.0,top
C6,13.53,-31.62,270.0,top
C7,15.72,-31.65,90.0,top
C8,14.36,-35.78,270.0,top
C9,33.58,-18.1,270.0,top
D1,29.9175,-24.39,180.0,top
D2,32.59,-13.7425,270.0,top
J1,39.235,-21.159995,90.0,top
J2,40.46,-29.675,180.0,top
J3,21.159995,-35.61,180.0,top
LED1,41.23,-11.25,270.0,top
LED2,32.62,-1.47,180.0,top
Q1,31.1,-37.1125,0.0,top
R11,13.49,-25.4,270.0,top
R13,23.56,-23.31,270.0,top
R14,26.21,-26.6,90.0,top
R15,25.52,-30.01,180.0,top
R16,28.33,-39.83,0.0,top
R17,31.47,-39.82,0.0,top
R18,27.92,-36.52,90.0,top
R19,10.39,-5.11,270.0,top
R22,4.37,-16.58,90.0,top
R23,10.39,-14.28,270.0,top
R24,9.82,-19.13,90.0,top
R25,8.22,-19.13,90.0,top
R26,4.95,-26.89,270.0,top
R27,32.54,-10.4,90.0,top
R28,4.96,-30.02,90.0,top
R3,10.36,-11.22,270.0,top
R4,40.47,-15.01,0.0,top
R5,40.47,-13.47,0.0,top
R6,39.65,-11.19,90.0,top
R7,16.66,-22.29,270.0,top
R8,8.79,-14.34,90.0,top
R9,16.63,-25.4,270.0,top
S1,1.91,-11.53,270.0,top
S2,1.91,-17.886667,270.0,top
S3,1.91,-24.243333,270.0,top
S4,1.91,-30.6,270.0,top
U1,36.544,-28.4754,0.0,top
U2,37.0,-11.5625,90.0,top
U3,21.159995,-21.159995,0.0,bottom
U4,20.729999,-28.1903,270.0,top
U5,7.62,-11.21,270.0,top
U6,21.159995,-10.05,0.0,top
